synth_heb,trans_heb,LLM-as-a-Judge,
"<question>למארק יש גינה עם פרחים. הוא שתל בה צמחים בשלושה צבעים שונים. עשרה מהם צהובים, ויש 80% יותר מהם בצבע סגול. יש רק 25% פרחים ירוקים כמו שיש פרחים צהובים וסגולים יחד. כמה פרחים יש למארק בגינה שלו?</question>
<answer>יש 10 פרחים צהובים.יש 80% יותר פרחים סגולים מצהובים, כלומר 0.80 * 10 = <<0.80*10=8>>8 פרחים נוספים.לכן, יש 10 + 8 = <<10+8=18>>18 פרחים סגולים.המספר הכולל של פרחים צהובים וסגולים הוא 10 + 18 = <<10+18=28>>28 פרחים.יש רק 25% פרחים ירוקים כמו שיש פרחים צהובים וסגולים יחד, כלומר 0.25 * 28 = <<0.25*28=7>>7 פרחים ירוקים.המספר הכולל של פרחים בגינה של מארק הוא 28 + 7 = <<28+7=35>>35 פרחים.#### 35</answer>","<question>למארק יש גינה עם פרחים. הוא שתל בה צמחים בשלושה צבעים שונים. עשרה מהם צהובים, ויש 80% יותר מהם בצבע סגול. יש רק 25% פרחים ירוקים כמו שיש פרחים צהובים וסגולים יחד. כמה פרחים יש למארק בגינה שלו?</question>
<answer>יש 80/100 * 10 = <<80/100*10=8>>8 פרחים סגולים יותר מפרחים צהובים.אז בגינה של מארק יש 10 + 8 = <<10+8=18>>18 פרחים סגולים.פרחים סגולים וצהובים מסתכמים ל-10 + 18 = <<10+18=28>>28 פרחים.זה אומר שבגינה של מארק יש 25/100 * 28 = <<25/100*28=7>>7 פרחים ירוקים.אז בסך הכל למארק יש 28 + 7 = <<28+7=35>>35 צמחים בגינה שלו.#### 35</answer>","'{""decision"": ""Synthesized""}'",
"<question>אלברט תוהה כמה פיצה הוא יכול לאכול ביום אחד. הוא קונה 2 פיצות גדולות ו-2 פיצות קטנות. לפיצה גדולה יש 16 פרוסות ולפיצה קטנה יש 8 פרוסות. אם הוא אוכל את הכל, כמה חתיכות הוא אוכל באותו יום?</question>
<answer>לשתי הפיצות הגדולות יש 2 * 16 = <<2*16=32>>32 פרוסות.
לשתי הפיצות הקטנות יש 2 * 8 = <<2*8=16>>16 פרוסות.
בסך הכל, אלברט אוכל 32 + 16 = <<32+16=48>>48 פרוסות.
#### 48</answer>","<question>אלברט תוהה כמה פיצה הוא יכול לאכול ביום אחד. הוא קונה 2 פיצות גדולות ו-2 פיצות קטנות. לפיצה גדולה יש 16 פרוסות ולפיצה קטנה יש 8 פרוסות. אם הוא אוכל את הכל, כמה חתיכות הוא אוכל באותו יום?</question>
<answer>הוא אוכל 32 מהפיצות הגדולות כי 2 × 16 = <<2*16=32>>32
הוא אוכל 16 מהפיצות הקטנות כי 2 × 8 = <<2*8=16>>16
הוא אוכל 48 חתיכות כי 32 + 16 = <<32+16=48>>48
#### 48</answer>"," '{""decision"":""Synthesized""}'",
"<question>קן יצר חבילת טיפול לשלוח לאחיו, שהיה בפנימייה. קן הניח קופסה על משקל, ואז שפך לתוכה מספיק סוכריות ג'לי כדי להביא את המשקל ל-2 פאונד. לאחר מכן, הוא הוסיף מספיק בראוניז כדי לגרום למשקל לשלש את עצמו. לאחר מכן, הוא הוסיף עוד 2 פאונד של סוכריות ג'לי. ולבסוף, הוא הוסיף מספיק תולעי גומי כדי להכפיל את המשקל שוב. מה היה המשקל הסופי של קופסת הממתקים, בפאונד?</question>
<answer>המשקל ההתחלתי לאחר סוכריות הג'לי הראשונות היה 2 פאונד.לאחר מכן, הוא הוסיף מספיק בראוניז כדי לגרום למשקל לשלש את עצמו, אז המשקל הפך ל-2 * 3 = <<2*3=6>>6 פאונד.לאחר מכן, הוא הוסיף עוד 2 פאונד של סוכריות ג'לי, אז המשקל הפך ל-6 + 2 = <<6+2=8>>8 פאונד.ולבסוף, הוא הוסיף מספיק תולעי גומי כדי להכפיל את המשקל שוב, אז המשקל הסופי היה 8 * 2 = <<8*2=16>>16 פאונד.#### 16</answer>","<question>קן יצר חבילת טיפול לשלוח לאחיו, שהיה בפנימייה. קן הניח קופסה על משקל, ואז שפך לתוך הקופסה מספיק סוכריות ג'לי כדי להביא את המשקל ל-2 פאונד. לאחר מכן, הוא הוסיף מספיק בראוניז כדי לגרום למשקל לשלש את עצמו. אחר כך, הוא הוסיף עוד 2 פאונד של סוכריות ג'לי. ולבסוף, הוא הוסיף מספיק תולעי גומי כדי להכפיל את המשקל שוב. מה היה המשקל הסופי של קופסת הממתקים, בפאונד?</question>
<answer>ל-2 הפאונד הראשונים של סוכריות ג'לי, הוא הוסיף מספיק בראוניז כדי לגרום למשקל לשלש את עצמו, מה שהביא את המשקל ל-2*3=<<2*3=6>>6 פאונד.אחר כך, הוא הוסיף עוד 2 פאונד של סוכריות ג'לי, מה שהביא את המשקל ל-6+2=<<6+2=8>>8 פאונד.ולבסוף, הוא הוסיף מספיק תולעי גומי כדי להכפיל את המשקל שוב, למשקל סופי של 8*2=<<8*2=16>>16 פאונד.#### 16</answer>"," '{""decision"": ""Synthesized""}'",
"<question>אלכסיס מגישה מועמדות לעבודה חדשה וקנתה סט חדש של בגדי עסקים ללבוש לראיון. היא הלכה לחנות כלבו עם תקציב של 200$ והוציאה 30$ על חולצה מכופתרת, 46$ על מכנסי חליפה, 38$ על ז'קט חליפה, 11$ על גרביים, ו-18$ על חגורה. היא גם קנתה זוג נעליים, אבל איבדה את הקבלה שלהם. נותרו לה 16$ מהתקציב שלה. כמה שילמה אלכסיס עבור הנעליים?</question>
<answer>אלכסיס הוציאה על החולצה, המכנסיים, הז'קט, הגרביים והחגורה סך הכל: 30 + 46 + 38 + 11 + 18 = <<30+46+38+11+18=143>>143$.הסכום הכולל שהיא הוציאה מתוך התקציב שלה הוא התקציב ההתחלתי פחות הסכום שנותר לה: 200 - 16 = <<200-16=184>>184$.כדי למצוא כמה שילמה אלכסיס עבור הנעליים, נפחית את סכום ההוצאות הידועות מהסכום הכולל שהוצא: 184 - 143 = <<184-143=41>>41$.#### 41</answer>","<question>אלכסיס מגישה מועמדות לעבודה חדשה וקנתה סט חדש של בגדי עסקים ללבוש לראיון. היא הלכה לחנות כלבו עם תקציב של 200$ והוציאה 30$ על חולצה מכופתרת, 46$ על מכנסי חליפה, 38$ על ז'קט חליפה, 11$ על גרביים, ו-18$ על חגורה. היא גם קנתה זוג נעליים, אבל איבדה את הקבלה עליהן. נותרו לה 16$ מהתקציב שלה. כמה שילמה אלכסיס עבור הנעליים?</question>
<answer>נסמן ב-S את הסכום שאלכסיס שילמה עבור הנעליים.היא הוציאה S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.היא השתמשה בכל התקציב שלה מלבד 16$, אז S + 143 = 200 - 16 = 184.לכן, אלכסיס שילמה S = 184 - 143 = $<<184-143=41>>41 עבור הנעליים.#### 41</answer>"," '{""decision"": ""Synthesized""}'",
"<question>טינה מרוויחה 18.00$ לשעה. אם היא עובדת יותר מ-8 שעות במשמרת, היא זכאית לשעות נוספות, אשר משולמות לפי השכר השעתי שלה + חצי מהשכר השעתי שלה. אם היא עובדת 10 שעות בכל יום במשך 5 ימים, כמה כסף היא מרוויחה?</question>
<answer>השכר הרגיל של טינה הוא 18$ לשעה.שכר שעות נוספות הוא השכר הרגיל + חצי מהשכר הרגיל: 18 + (1/2 * 18) = 18 + 9 = <<18+9=27>>27$ לשעה.בכל יום, טינה עובדת 10 שעות. מתוכן, 8 שעות הן שעות רגילות ו-10 - 8 = <<10-8=2>>2 שעות הן שעות נוספות.התשלום עבור שעות רגילות ביום הוא 8 שעות * 18$ לשעה = <<8*18=144>>144$.התשלום עבור שעות נוספות ביום הוא 2 שעות * 27$ לשעה = <<2*27=54>>54$.סה""כ התשלום היומי של טינה הוא 144 + 54 = <<144+54=198>>198$.מכיוון שהיא עובדת 5 ימים, סך הכסף שהיא מרוויחה הוא 198 * 5 = <<198*5=990>>990$.#### 990</answer>","<question>טינה מרוויחה 18.00$ לשעה. אם היא עובדת יותר מ-8 שעות במשמרת, היא זכאית לשעות נוספות, אשר משולמות לפי השכר השעתי שלה + חצי מהשכר השעתי שלה. אם היא עובדת 10 שעות בכל יום במשך 5 ימים, כמה כסף היא מרוויחה?</question>
<answer>היא עובדת 8 שעות ביום תמורת 18$ לשעה, אז היא מרוויחה 8*18 = $<<8*18=144.00>>144.00 למשמרת של 8 שעות.היא עובדת 10 שעות ביום וכל מה שמעל 8 שעות מזכה אותה לשעות נוספות, אז היא מקבלת 10-8 = <<10-8=2>>2 שעות נוספות.שעות נוספות מחושבות כזמן וחצי והיא מרוויחה 18$ לשעה, אז התשלום שלה לשעות נוספות הוא 18*0.5 = $<<18*.5=9.00>>9.00.התשלום שלה לשעות נוספות הוא 18+9 = $<<18+9=27.00>>27.00.השכר הבסיסי שלה הוא 144.00$ למשמרת של 8 שעות והיא עובדת 5 ימים ומרוויחה 5 * 144$ = $<<144*5=720.00>>720.00.התשלום שלה לשעות נוספות הוא 27.00$ לשעה והיא עובדת 2 שעות נוספות ביום ומרוויחה 27*2 = $<<27*2=54.00>>54.00 בתשלום שעות נוספות.2 שעות של תשלום שעות נוספות במשך 5 ימים אומר שהיא מרוויחה 54*5 = 270.00$.ב-5 ימים השכר הבסיסי שלה הוא 720.00$ והיא מרוויחה 270.00$ בתשלום שעות נוספות, אז היא מרוויחה 720$ + 270$ = $<<720+270=990.00>>990.00.#### 990</answer>"," '{""decision"": ""Synthesized""}'",
"<question>מפלצת ים עמוקה עולה מהמים אחת למאה שנים כדי לסעוד על ספינה ולהשביע את רעבונה. במשך שלוש מאות שנים, היא טרפה 847 אנשים. ספינות נבנו גדולות יותר עם הזמן, כך שלכל ספינה חדשה יש פי שניים אנשים מאשר בספינה הקודמת. כמה אנשים היו על הספינה שהמפלצת אכלה במאה השנים הראשונות?</question>
<answer>המפלצת עולה פעם במאה שנים. במשך שלוש מאות שנים, היא עלתה 3 פעמים.
נסמן ב-x את מספר האנשים שהיו על הספינה במאה השנים הראשונות.
במאה השנים השניות, היו על הספינה פי שניים אנשים, כלומר 2x אנשים.
במאה השנים השלישיות, היו על הספינה פי שניים אנשים מהספינה הקודמת, כלומר 2 * (2x) = 4x אנשים.
המספר הכולל של האנשים שנצרכו הוא סכום האנשים מכל שלוש הספינות: x + 2x + 4x = 847.
נחבר את האיברים: 7x = 847.
נפתור עבור x: x = 847 / 7 = <<847/7=121>>121.
לכן, היו 121 אנשים על הספינה שהמפלצת אכלה במאה השנים הראשונות.
#### 121</answer>","<question>מפלצת ים עמוק עולה מהמים אחת למאה שנים כדי לטרוף ספינה ולהשביע את רעבונה. במשך שלוש מאות שנים, היא טרפה 847 אנשים. ספינות נבנו גדולות יותר עם הזמן, כך שבכל ספינה חדשה היו פי שניים אנשים מאשר בספינה הקודמת. כמה אנשים היו על הספינה שהמפלצת אכלה במאה השנים הראשונות?</question>
<answer>נסמן ב-S את מספר האנשים שהיו על הספינה של מאה השנים הראשונות.בספינה של מאה השנים השניות היו פי שניים אנשים מאשר בראשונה, ולכן היו בה 2S אנשים.בספינה של מאה השנים השלישיות היו פי שניים אנשים מאשר בשנייה, ולכן היו בה 2 * 2S = <<2*2=4>>4S אנשים.בכל הספינות יחד היו S + 2S + 4S = 7S = 847 אנשים.לכן, על הספינה שהמפלצת אכלה במאה השנים הראשונות היו S = 847 / 7 = <<847/7=121>>121 אנשים.#### 121</answer>"," '{""decision"": ""Synthesized""}'",
"<question>טוביאס קונה זוג נעליים חדש שעולה 95$. הוא חסך את כספו מדי חודש בשלושת החודשים האחרונים. הוא מקבל דמי כיס של 5$ בחודש. הוא גם מכסח מדשאות ומפנה שלג משבילי גישה. הוא גובה 15$ עבור כיסוח מדשאה ו-7$ עבור פינוי שלג. לאחר קניית הנעליים, נותרו לו 15$ עודף. אם הוא כיסח 4 מדשאות, כמה שבילי גישה הוא פינה?</question>
<answer>טוביאס הוציא 95$ על הנעליים ונשארו לו 15$ עודף, לכן סך הכסף שהיה לו לפני הקנייה היה 95 + 15 = <<95+15=110>>110$.הוא קיבל דמי כיס במשך 3 חודשים, אז הוא הרוויח 3 * 5 = <<3*5=15>>15$ מדמי כיס.הוא כיסח 4 מדשאות, אז הוא הרוויח 4 * 15 = <<4*15=60>>60$ מכיסוח מדשאות.הכסף שנותר לו מפינוי שבילי גישה הוא 110 - 15 - 60 = <<110-15-60=35>>35$.מכיוון שהוא גובה 7$ עבור פינוי שביל גישה אחד, הוא פינה 35 / 7 = <<35/7=5>>5 שבילי גישה.#### 5</answer>","<question>טוביאס קונה זוג נעליים חדש שעולה 95$. הוא חסך את כספו מדי חודש בשלושת החודשים האחרונים. הוא מקבל דמי כיס של 5$ בחודש. הוא גם מכסח מדשאות ומפנה שבילי גישה. הוא גובה 15$ עבור כיסוח מדשאה ו-7$ עבור פינוי. לאחר קניית הנעליים, נשארו לו 15$ עודף. אם הוא כיסח 4 מדשאות, כמה שבילי גישה הוא פינה?</question>
<answer>הוא חסך סך הכל 110$ כי 95 + 15 = <<95+15=110>>110
הוא חסך 15$ מדמי הכיס שלו כי 3 × 5 = <<3*5=15>>15
הוא הרוויח 60$ מכיסוח מדשאות כי 4 × 15 = <<4*15=60>>60
הוא הרוויח 35$ מפינוי שבילי גישה כי 110 - 60 - 15 = <<110-60-15=35>>35
הוא פינה 5 שבילי גישה כי 35 / 7 = <<35/7=5>>5
#### 5</answer>"," '{""decision"": ""Synthesized""}'",
"<question>לרנדי יש 60 עצי מנגו בחווה שלו. יש לו גם 5 פחות ממחצית ממספר עצי הקוקוס שיש לו מעצי המנגו. כמה עצים יש לרנדי בסך הכל בחווה שלו?</question>
<answer>לרנדי יש 60 עצי מנגו.מספר עצי הקוקוס הוא חצי ממספר עצי המנגו פחות 5.חצי ממספר עצי המנגו הוא 60 / 2 = <<60/2=30>>30.מספר עצי הקוקוס הוא 30 - 5 = <<30-5=25>>25.המספר הכולל של העצים בחווה של רנדי הוא 60 (מנגו) + 25 (קוקוס) = <<60+25=85>>85.#### 85</answer>","<question>לרנדי יש 60 עצי מנגו בחווה שלו. יש לו גם עצי קוקוס במספר שהוא 5 פחות ממחצית מספר עצי המנגו. כמה עצים יש לרנדי בסך הכל בחווה שלו?</question>
<answer>מחצית ממספר עצי המנגו של רנדי היא 60/2 = <<60/2=30>>30 עצים.אז לרנדי יש 30 - 5 = <<30-5=25>>25 עצי קוקוס.לכן, לרנדי יש 60 + 25 = <<60+25=85>>85 עצים בחווה שלו.#### 85</answer>"," '{""decision"": ""Translated""}'",
"<question>ג'ספר יגיש מגש נקניקים וגבינות במסיבת ארוחת הערב שלו. הוא קונה 2 פאונד גבינת צ'דר ב-10$, פאונד גבינת שמנת שעלה חצי ממחיר גבינת הצ'דר, וחבילת נקניקים שעלו פי שניים ממחיר גבינת הצ'דר. כמה הוא מוציא על המרכיבים?</question>
<answer>גבינת הצ'דר עלתה 10$.גבינת השמנת עלתה חצי ממחיר גבינת הצ'דר, כלומר 10 / 2 = $<<10/2=5>>5.חבילת הנקניקים עלתה פי שניים ממחיר גבינת הצ'דר, כלומר 10 * 2 = $<<10*2=20>>20.הסכום הכולל שג'ספר הוציא הוא 10 + 5 + 20 = $<<10+5+20=35>>35.#### 35</answer>","<question>ג'ספר יגיש מגש נקניקים וגבינות במסיבת ארוחת הערב שלו. הוא קונה 2 פאונד גבינת צ'דר ב-10$, פאונד גבינת שמנת שעלה חצי ממחיר גבינת הצ'דר, וחבילת נקניקים שעלו פי שניים ממחיר גבינת הצ'דר. כמה הוא מוציא על המרכיבים?</question>
<answer>פאונד גבינת שמנת עלה 10$ / 2 = $<<10/2=5>>5.חבילת נקניקים עלתה 10$ × 2 = $<<10*2=20>>20.ג'ספר הוציא 10$ + 5$ + 20$ = $<<10+5+20=35>>35 על המרכיבים.#### 35</answer>"," '{""decision"": ""Synthesized""}'",
"<question>ג'וי יכולה לקרוא 8 עמודים מספר ב-20 דקות. כמה שעות ייקח לה לקרוא 120 עמודים?</question>
<answer>ג'וי קוראת 8 עמודים ב-20 דקות, לכן היא קוראת 8/20 = <<8/20=0.4>>0.4 עמודים בדקה.כדי לקרוא 120 עמודים, ייקח לה 120 / 0.4 = <<120/0.4=300>>300 דקות.כדי להמיר דקות לשעות, נחלק ב-60: 300 / 60 = <<300/60=5>>5 שעות.#### 5</answer>","<question>ג'וי יכולה לקרוא 8 עמודים מספר ב-20 דקות. כמה שעות ייקח לה לקרוא 120 עמודים?</question>
<answer>בשעה אחת, יש 3 קבוצות של 20 דקות.לכן, ג'וי יכולה לקרוא 8 × 3 = <<8*3=24>>24 עמודים בשעה.ייקח לה 120/24 = <<120/24=5>>5 שעות לקרוא 120 עמודים.#### 5</answer>"," '{""decision"": ""Translated""}'",
